unemp_civlabor_16,male_nm_labor,not_grad_labor,white_nhl,foreign
0.013208421433859363,0.06618058255529695,0,TRUE,FALSE
0.05091362321567152,0.10234461350328057,0,TRUE,FALSE
0.02054855486184403,0.06880459799346414,0,TRUE,FALSE
0.016423691340991073,0.059627308542646744,0,TRUE,FALSE
0.03139124410280096,0.07395005113655109,2.8042624789680314e-4,TRUE,FALSE
0.029656473024442555,0.09548989880314068,0,TRUE,FALSE
0.03909915115495206,0.11132664713084871,0,TRUE,FALSE
0.06314564791180065,0.16241973818015573,0,TRUE,FALSE
0.012342763386864217,0.07323621538308557,0,TRUE,FALSE
0.039092592753610586,0.11852115921362676,0,TRUE,FALSE
0.02953625688316858,0.08024945266370331,0,TRUE,FALSE
0.03993726065346696,0.13584698117819605,0,TRUE,FALSE
0.02151138905372712,0.0745880312228968,0,TRUE,FALSE
0.04234908262431619,0.13835535841703142,0,TRUE,FALSE
0.08665637321831894,0.25261908711575026,0,TRUE,FALSE
0.020111609585293795,0.09017397964766385,0,TRUE,FALSE
0.02026655494750072,0.07417978057657564,0,TRUE,FALSE
0.020687330753228036,0.09213416547540183,0,TRUE,FALSE
0.05861533318913817,0.10606209568004404,0,TRUE,FALSE
0.03137678000044338,0.15457091551325347,0,TRUE,FALSE
0.03793966769963408,0.07404100355410824,0,TRUE,FALSE
0.04594718195392609,0.1759756682149528,0,TRUE,FALSE
0.03655106517555547,0.16652536100232818,0,TRUE,FALSE
0.04429923388913925,0.09169671022983326,0,TRUE,FALSE
0.11657234251968504,0.24581692913385828,0,TRUE,FALSE
0.02582455755448296,0.07968590024864707,0,TRUE,FALSE
0.04568987404651779,0.1761472143416971,0,TRUE,FALSE
0.029548190173351883,0.13038355246894973,0,TRUE,FALSE
0.041659256159439245,0.07176858293665324,0,TRUE,FALSE
0.10049905031469963,0.140907228781051,0,TRUE,FALSE
0.03526973104627662,0.1313507280924496,0,TRUE,FALSE
0.035238714771015076,0.08228946007706037,0,TRUE,FALSE
0.03317725752508361,0.07182990922121357,0,TRUE,FALSE
0.03385601896756116,0.07928117254014441,0,FALSE,FALSE
0.01578554160231012,0.09645927070042308,0,TRUE,FALSE
0.036506216427214785,0.10355274350100792,0,TRUE,FALSE
0.019296165266902518,0.10543801021158163,0,TRUE,FALSE
0.01690529988175656,0.07480946415818865,0,TRUE,FALSE
