pct_college,unemp_rate,med_incomeE,majority_white,rural
0.3151157773622897,0.023467736593582332,27772,TRUE,FALSE
0.1904461530593109,0.08012583271650629,22154,TRUE,FALSE
0.12158118659123848,0.043102528539421744,23615,TRUE,FALSE
0.1518603096802941,0.03228336165207162,22130,TRUE,FALSE
0.24407785319368905,0.05217272104180946,27093,TRUE,FALSE
0.18464541817268107,0.05165528790416076,25055,TRUE,FALSE
0.20462930017416056,0.05937532643894286,24821,TRUE,FALSE
0.3512324932392151,0.06722953893771899,29904,TRUE,FALSE
0.24314979123173278,0.022592314517780356,26988,TRUE,FALSE
0.354962322866034,0.05698930183035035,25572,TRUE,FALSE
0.29858687898825936,0.05091491308325709,27374,TRUE,FALSE
0.45406508398178747,0.05215943131694184,31970,TRUE,FALSE
0.2265807962529274,0.044367556371510616,24012,TRUE,FALSE
0.226193875115257,0.05561613958560523,25256,TRUE,FALSE
0.3248248761318982,0.06417562063523564,25172,FALSE,FALSE
0.2503447596532703,0.033069449442245415,27866,TRUE,FALSE
0.2131980770452572,0.038474921708008154,27129,TRUE,FALSE
0.4255947766465106,0.03206773859388371,36244,TRUE,FALSE
0.14441019759634913,0.08512278697886921,21226,TRUE,FALSE
0.30118228510514583,0.041081708673987714,25536,TRUE,FALSE
0.12728050606606975,0.0789205331779445,23874,TRUE,FALSE
0.3728902024902528,0.0516730697732061,36966,TRUE,FALSE
0.28321678321678323,0.04905803514982931,35294,TRUE,FALSE
0.2252842619815097,0.0833757421543681,29297,TRUE,FALSE
0.09558371623401328,0.09639841285990436,20695,FALSE,FALSE
0.1979190905162384,0.05642326436046976,24579,TRUE,FALSE
0.3504882079014571,0.05763580410232131,25442,TRUE,FALSE
0.336926908135599,0.04559038525299682,32123,TRUE,FALSE
0.1385849669495633,0.09881383691498337,23492,TRUE,FALSE
0.12454487661099231,0.14356396137578806,20573,FALSE,FALSE
0.296791152130342,0.05577328479325738,27521,TRUE,FALSE
0.17451005554842614,0.07215350550144865,28279,TRUE,FALSE
0.2257074505094406,0.07330771504581732,25711,TRUE,FALSE
0.18284735215590642,0.07255531433322555,23737,TRUE,FALSE
0.35159472044253054,0.02676430192922155,33484,TRUE,FALSE
0.3010579197301113,0.05938098216485662,24452,TRUE,FALSE
0.33686133172426164,0.03248317275966742,27307,TRUE,FALSE
0.19560421434609596,0.03396847800517525,24804,TRUE,FALSE
0.17233087063595537,0.08647178269031838,23445,FALSE,FALSE
0.1759287454323995,0.042474661667350165,30381,TRUE,FALSE
0.34363208916236143,0.042564027572574666,30108,TRUE,FALSE
0.2826702935509464,0.024412728200569576,31339,TRUE,FALSE
0.207978246669401,0.03498358375519578,25444,TRUE,FALSE
0.3390155224236438,0.03499539864469171,28115,TRUE,FALSE
0.24320142658589672,0.05447366059409495,22719,TRUE,FALSE
0.508493640886666,0.04035147919227545,46125,FALSE,FALSE
0.2401446063292519,0.07280558959632726,24872,TRUE,FALSE
0.44049892498262433,0.046423306145468815,41808,TRUE,FALSE
0.36170126294185184,0.04368015786199944,37249,TRUE,FALSE
0.21375624053657974,0.08085340960916018,25211,TRUE,FALSE
0.2587990809442274,0.09420637158161826,23963,TRUE,FALSE
0.14333110640562544,0.12754937327176002,18731,TRUE,FALSE
0.15258346617271198,0.08906974262610384,24850,TRUE,FALSE
0.1395994422613766,0.08273287043102319,27069,TRUE,FALSE
0.16483924921018397,0.05541405908892447,27650,TRUE,FALSE
0.3336469447434135,0.05606038461719792,30041,TRUE,FALSE
0.14374789785516545,0.11494751323384275,23434,TRUE,FALSE
0.6203030759951749,0.024770151497629237,57224,TRUE,FALSE
0.19693711152600857,0.05729016786570743,26575,TRUE,FALSE
0.147566267975141,0.10306158489596712,25596,TRUE,FALSE
0.22516459266177696,0.043290488431876606,28746,FALSE,FALSE
0.33437152078019083,0.054966869284267014,36289,TRUE,FALSE
0.3505024115755627,0.03386974835295388,33906,TRUE,FALSE
0.4190493985047918,0.04099574931465937,36405,TRUE,FALSE
0.42488506525085107,0.04001276154521043,40332,TRUE,FALSE
0.2155871413924127,0.06490336698783372,28403,TRUE,FALSE
0.31618068986678877,0.05512591452679352,32357,TRUE,FALSE
0.21615137833545786,0.06671827289425143,27758,TRUE,FALSE
0.3882734001564196,0.05121423744086506,34238,TRUE,FALSE
0.645903794400438,0.036877005501059136,53266,FALSE,FALSE
0.17649428616567486,0.06042631533527026,29768,TRUE,FALSE
0.3334113295844813,0.04792603771373313,32089,TRUE,FALSE
0.5501085362548158,0.038434122786847554,50608,TRUE,FALSE
0.3234929226642397,0.05881935952646782,29344,TRUE,FALSE
0.5648078991876103,0.039208520710059175,49398,FALSE,FALSE
0.38269435255198486,0.06594701092572436,32252,TRUE,FALSE
0.22394247226976682,0.08293832622320535,26609,TRUE,FALSE
0.27327281959604355,0.044995016994442534,38942,TRUE,FALSE
0.3433594448481436,0.044462936555359635,35380,TRUE,FALSE
0.1633253585919092,0.08799434242624098,27991,TRUE,FALSE
0.1730871576534163,0.08881062407465566,27172,TRUE,FALSE
0.15864023935525026,0.10272423554114317,22649,TRUE,FALSE
0.3212883395549675,0.043374011785063955,33782,TRUE,FALSE
0.4146690518783542,0.057844539818788746,28467,TRUE,FALSE
0.14831488620818306,0.07829654455102276,25819,TRUE,FALSE
0.26118329749980224,0.034413219068400586,34414,TRUE,FALSE
0.4299979994665244,0.037795267054755166,37278,TRUE,FALSE
0.641333098219009,0.03609005482444284,37172,TRUE,FALSE
0.5943662682201039,0.03131447991261076,47340,TRUE,FALSE
